work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,job_category
2023,SE,FT,227500,US,100,US,Data Engineer
2023,SE,FT,227240,US,100,US,Data Scientist
2022,SE,FT,227200,CA,100,CA,Software & Data Architecture
2024,SE,FT,227000,US,0,US,Data Scientist
2023,SE,FT,227000,US,100,US,Data Scientist
2023,SE,FT,227000,US,100,US,Machine Learning
2023,SE,FT,227000,US,0,US,Data Analyst
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,CA,100,CA,Machine Learning
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226700,US,0,US,Data Engineer
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Data Scientist
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Data Scientist
2023,SE,FT,226600,US,0,US,Data Engineer
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Data Engineer
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2023,SE,FT,226600,US,0,US,Machine Learning
2024,SE,FT,226500,US,100,US,Data Scientist
2023,SE,FT,226500,US,100,US,Leadership & Management
2024,SE,FT,226000,US,0,US,Data Engineer
2024,SE,FT,226000,US,0,US,Data Scientist
2024,SE,FT,226000,US,0,US,Data Engineer
2023,SE,FT,226000,US,100,US,Data Scientist
2023,SE,FT,226000,US,100,US,Data Scientist
2023,SE,FT,226000,US,100,US,Data Scientist
2023,SE,FT,226000,US,100,US,Machine Learning
2023,SE,FT,225900,US,0,US,Leadership & Management
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225500,US,0,US,Data Engineer
2023,SE,FT,225300,US,0,US,Machine Learning
2023,SE,FT,225300,US,0,US,Machine Learning
2023,SE,FT,225300,US,0,US,Data Engineer
2023,MI,FT,225300,US,0,US,Data Scientist
2023,MI,FT,225300,US,0,US,Machine Learning
2023,SE,FT,225100,US,100,US,Data Scientist
2024,EX,FT,225000,US,0,US,Machine Learning
2024,EX,FT,225000,US,0,US,Data Engineer
2024,SE,FT,225000,US,0,US,Research & Science
2024,SE,FT,225000,US,0,US,BI & Analytics
2024,SE,FT,225000,US,0,US,Machine Learning
2024,SE,FT,225000,US,100,US,Machine Learning
2024,SE,FT,225000,US,0,US,Machine Learning
2024,SE,FT,225000,US,0,US,Data Scientist
2024,EX,FT,225000,US,0,US,Leadership & Management
2024,SE,FT,225000,CA,0,CA,Data Scientist
2024,SE,FT,225000,US,0,US,Data Engineer
2024,EX,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,100,US,Data Engineer
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Research & Science
2023,SE,FT,225000,US,0,US,Research & Science
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,EX,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,0,US,Machine Learning
2023,SE,FT,225000,US,0,US,Machine Learning
2023,SE,FT,225000,US,100,US,Data Engineer
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,100,US,Data Scientist
2023,SE,FT,225000,US,100,US,Data Scientist
2023,MI,FT,225000,US,0,US,Machine Learning
2023,SE,FT,225000,US,100,US,Data Scientist
2023,MI,FT,225000,US,0,US,Leadership & Management
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Machine Learning
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,AI Research
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,100,US,Data Scientist
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,100,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,FR,0,FR,Machine Learning
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,EX,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,FR,0,FR,AI Research
2023,SE,FT,225000,US,100,US,Machine Learning
2023,SE,FT,225000,US,0,US,Data Engineer
2023,EX,FT,225000,US,100,US,Leadership & Management
2023,EX,FT,225000,US,100,US,Machine Learning
2023,SE,FT,225000,US,0,US,Business Intelligence
2023,SE,FT,225000,US,100,US,Data Engineer
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,100,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,100,US,Data Scientist
2023,SE,FT,225000,US,0,US,Data Engineer
2023,SE,FT,225000,US,0,US,Data Scientist
2023,SE,FT,225000,US,0,US,Leadership & Management
2022,SE,FT,225000,US,0,US,Data Scientist
2022,SE,FT,225000,US,100,US,Data Engineer
2022,SE,FT,225000,US,0,US,Data Engineer
2022,SE,FT,225000,US,0,US,Data Scientist
2022,SE,FT,225000,US,0,US,Data Engineer
2022,SE,FT,225000,US,0,US,Data Scientist
2022,SE,FT,225000,US,0,US,Data Scientist
2022,SE,FT,225000,US,100,US,Software & Data Architecture
2022,SE,FT,225000,US,0,US,Data Engineer
2022,MI,FT,225000,US,0,US,Data Scientist
2023,SE,FT,224880,US,0,US,Machine Learning
2023,SE,FT,224800,US,0,US,Data Scientist
2023,SE,FT,224500,US,0,US,Data Engineer
2023,SE,FT,224400,US,0,US,Machine Learning
2023,SE,FT,224250,US,0,US,Data Scientist
2024,SE,FT,224100,US,0,US,Software & Data Architecture
2024,SE,FT,224000,US,0,US,Data Engineer
2024,MI,FT,224000,CA,0,CA,Data Scientist
2023,SE,FT,224000,US,0,US,Data Management
2023,SE,FT,224000,US,0,US,Machine Learning
2023,SE,FT,224000,CA,0,CA,Data Scientist
2022,EX,FT,224000,US,100,US,Data Management
2023,SE,FT,223800,US,0,US,Data Scientist
2023,SE,FT,223800,US,0,US,Data Scientist
2024,SE,FT,223700,US,0,US,Machine Learning
2024,SE,FT,223700,US,0,US,Machine Learning
2023,SE,FT,223602,US,0,US,Data Analyst
2024,MI,FT,223600,US,0,US,Machine Learning
2023,SE,FT,223600,US,0,US,Machine Learning
2023,SE,FT,223600,US,0,US,Machine Learning
2023,SE,FT,223400,US,100,US,Data Scientist
2023,SE,FT,223290,US,0,US,Data Scientist
2023,SE,FT,223250,US,0,US,Data Engineer
2023,SE,FT,223250,US,0,US,Data Engineer
2024,MI,FT,223100,US,0,US,Machine Learning
2024,MI,FT,223100,US,100,US,Machine Learning
2024,MI,FT,223100,US,100,US,Machine Learning
2023,SE,FT,223100,US,0,US,Data Analyst
2024,MI,FT,223000,US,0,US,Machine Learning
2023,SE,FT,223000,US,0,US,Machine Learning
2023,SE,FT,222800,US,0,US,Data Scientist
2023,SE,FT,222750,US,0,US,Data Scientist
2022,EX,FT,222640,US,0,US,Data Management
2023,SE,FT,222405,US,0,US,Machine Learning
2024,SE,FT,222300,US,0,US,Data Scientist
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2024,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,MI,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2023,SE,FT,222200,US,0,US,Research & Science
2024,SE,FT,222000,US,100,US,Software & Data Architecture
2023,SE,FT,222000,US,100,US,Software & Data Architecture
2023,SE,FT,222000,US,0,US,Software & Data Architecture
2023,SE,FT,222000,US,0,US,Data Engineer
2023,EX,FT,222000,US,0,US,Leadership & Management
2023,SE,FT,222000,US,0,US,Data Scientist
2023,SE,FT,222000,US,100,US,Data Scientist
2023,SE,FT,222000,US,100,US,Data Scientist
2023,SE,FT,222000,US,100,US,Data Engineer
2023,SE,FT,221800,US,100,US,Software & Data Architecture
2024,SE,FT,221630,US,0,US,Data Engineer
2024,MI,FT,221500,US,0,US,BI & Analytics
2023,SE,FT,221484,US,0,US,Data Engineer
2023,SE,FT,221300,US,100,US,BI & Analytics
2023,SE,FT,221300,US,0,US,BI & Analytics
2023,SE,FT,221300,US,0,US,BI & Analytics
2024,SE,FT,221000,US,0,US,Machine Learning
2024,SE,FT,221000,US,0,US,Machine Learning
2024,SE,FT,221000,US,0,US,Machine Learning
2024,SE,FT,221000,US,0,US,Data Engineer
2024,SE,FT,221000,US,0,US,Machine Learning
2024,SE,FT,221000,US,0,US,Data Engineer
2023,SE,FT,221000,US,0,US,Machine Learning
2023,SE,FT,221000,US,0,US,Machine Learning
2023,SE,FT,221000,US,0,US,MLOps & Infrastructure
2023,SE,FT,221000,US,0,US,Machine Learning
2023,SE,FT,221000,US,0,US,Machine Learning
2023,EX,FT,221000,US,100,US,BI & Analytics
2023,SE,FT,221000,US,0,US,Data Engineer
2024,SE,FT,220800,US,0,US,Data Scientist
2024,SE,FT,220600,US,0,US,Machine Learning
2022,SE,FT,220110,US,0,US,Data Engineer
2022,SE,FT,220110,US,100,US,Data Engineer
2024,SE,FT,220067,US,100,US,Machine Learning
2024,SE,FT,220000,US,0,US,Data Scientist
2024,SE,FT,220000,CA,0,CA,Data Engineer
2024,SE,FT,220000,US,0,US,Data Scientist
2024,SE,FT,220000,US,0,US,Data Engineer
2024,SE,FT,220000,US,100,US,Data Scientist
2024,EX,FT,220000,US,100,US,Data Engineer
2024,SE,FT,220000,CA,0,CA,Machine Learning
2024,SE,FT,220000,US,0,US,Machine Learning
2024,SE,FT,220000,US,0,US,Data Scientist
2024,MI,FT,220000,US,0,US,Data Scientist
2024,MI,FT,220000,US,0,US,Machine Learning
2024,SE,FT,220000,US,0,US,Data Engineer
2024,SE,FT,220000,US,0,US,Machine Learning
2024,SE,FT,220000,US,0,US,Data Engineer
2024,SE,FT,220000,US,100,US,Computer Vision & Deep Learning
2024,MI,FT,220000,US,0,US,BI & Analytics
2024,MI,FT,220000,US,100,US,Data Engineer
2024,SE,FT,220000,US,0,US,Data Scientist
2024,MI,FT,220000,US,0,US,Data Engineer
2024,SE,FT,220000,US,0,US,Software & Data Architecture
2024,SE,FT,220000,US,0,US,Data Engineer
2024,SE,FT,220000,US,0,US,Machine Learning
2024,SE,FT,220000,US,0,US,Machine Learning
2024,SE,FT,220000,US,100,US,Data Scientist
2024,SE,FT,220000,US,0,US,Machine Learning
2024,SE,FT,220000,US,100,US,Data Analyst
2023,MI,FT,220000,US,0,US,Data Scientist
2023,MI,FT,220000,CA,100,CA,Data Engineer
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Data Scientist
2023,SE,FT,220000,US,100,US,Data Scientist
2023,MI,FT,220000,US,0,US,Research & Science
2023,SE,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,CA,100,CA,Data Engineer
2023,SE,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,US,0,US,Data Scientist
2023,MI,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,US,0,US,AI Research
2023,EN,FT,220000,US,0,US,Machine Learning
2023,EX,FT,220000,US,100,US,Data Scientist
2023,SE,FT,220000,US,0,US,Data Scientist
2023,SE,FT,220000,US,0,US,Data Scientist
2023,EX,FT,220000,US,0,US,Research & Science
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,UA,100,UA,Machine Learning
2023,EN,FT,220000,US,0,US,Data Engineer
2023,SE,FT,220000,US,100,US,Research & Science
2023,EN,FT,220000,US,0,US,Data Engineer
2023,SE,FT,220000,US,100,US,MLOps & Infrastructure
2023,SE,FT,220000,US,0,US,Data Engineer
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Data Scientist
2023,SE,FT,220000,US,0,US,Research & Science
2023,SE,FT,220000,US,0,US,Business Intelligence
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Research & Science
2023,EX,FT,220000,US,0,US,Data Engineer
2023,SE,FT,220000,US,0,US,Data Engineer
2023,MI,FT,220000,US,100,US,Research & Science
2023,SE,FT,220000,US,0,US,Research & Science
2023,EX,FT,220000,US,0,US,Data Scientist
2023,SE,FT,220000,US,100,US,Machine Learning
2023,SE,FT,220000,US,0,US,Data Scientist
2023,SE,FT,220000,US,100,US,Machine Learning
2023,SE,FT,220000,US,0,US,Research & Science
2023,SE,FT,220000,US,100,US,Machine Learning
2023,EN,FT,220000,US,50,US,Research & Science
2023,SE,FT,220000,US,100,US,Data Engineer
2023,EX,FT,220000,US,0,US,Data Engineer
2023,SE,FT,220000,US,100,US,Data Engineer
2023,EN,FT,220000,US,0,US,Computer Vision & Deep Learning
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Machine Learning
2023,SE,FT,220000,US,0,US,Machine Learning
2023,MI,FT,220000,US,0,US,Data Management
2023,SE,FT,220000,US,0,US,Data Engineer
2023,SE,FT,220000,US,0,US,Data Scientist
2022,SE,FT,220000,US,0,US,Data Scientist
2022,SE,FT,220000,US,100,US,Data Engineer
2022,SE,FT,220000,US,100,US,Data Engineer
2022,SE,FT,220000,US,0,US,Data Engineer
2022,SE,FT,220000,US,100,US,Data Scientist
2022,SE,FT,220000,US,100,US,Machine Learning
2021,SE,FT,220000,US,0,US,Data Scientist
2024,EX,FT,219650,US,100,US,Data Engineer
2024,EX,FT,219650,US,100,US,Data Engineer
2024,EX,FT,219650,US,100,US,Data Engineer
2024,EX,FT,219650,US,100,US,Data Engineer
2023,EX,FT,219650,US,100,US,Data Engineer
2023,SE,FT,219535,US,100,US,Data Engineer
2023,SE,FT,219300,US,0,US,Machine Learning
2024,SE,FT,219100,US,100,US,Machine Learning
2023,SE,FT,219100,US,0,US,Research & Science
2024,EN,FT,219000,US,0,US,Research & Science
2023,SE,FT,219000,US,0,US,AI Specialist
2023,SE,FT,219000,US,0,US,Data Scientist
2023,SE,FT,219000,US,0,US,Data Scientist
2023,SE,FT,219000,CA,0,CA,Data Scientist
2023,MI,FT,219000,US,50,US,Machine Learning
2023,SE,FT,218755,US,0,US,Machine Learning
2024,SE,FT,218750,US,0,US,Data Scientist
2023,SE,FT,218540,US,0,US,Machine Learning
2023,SE,FT,218540,US,0,US,Machine Learning
2024,SE,FT,218500,US,100,US,Data Scientist
2024,SE,FT,218500,US,0,US,Data Engineer
2023,SE,FT,218500,US,100,US,Data Scientist
2024,MI,FT,218213,US,0,US,Research & Science
2024,SE,FT,218213,US,100,US,Research & Science
2023,SE,FT,218213,US,100,US,Research & Science
2023,SE,FT,218213,US,100,US,Data Scientist
2024,SE,FT,218185,US,100,US,Data Engineer
2024,SE,FT,218000,US,0,US,Data Scientist
2024,MI,FT,218000,US,0,US,Data Scientist
2023,SE,FT,218000,US,0,US,Data Scientist
2023,SE,FT,218000,US,100,US,Machine Learning
2023,SE,FT,218000,US,100,US,Data Scientist
2023,SE,FT,218000,US,100,US,Data Scientist
2023,SE,FT,218000,US,0,US,Data Scientist
2022,SE,FT,218000,US,0,US,Data Scientist
2023,MI,FT,217600,US,0,US,Software & Data Architecture
2024,SE,FT,217508,US,0,US,Data Operations
2024,SE,FT,217508,US,0,US,Data Engineer
2023,MI,FT,217000,US,0,US,Leadership & Management
2023,SE,FT,217000,US,100,US,Data Engineer
2023,SE,FT,217000,US,100,US,Data Engineer
2024,SE,FT,216800,US,100,US,Machine Learning
2023,SE,FT,216800,US,0,US,Data Scientist
2024,SE,FT,216700,US,100,US,Machine Learning
2024,SE,FT,216700,US,0,US,Machine Learning
2024,SE,FT,216700,CA,100,CA,Machine Learning
2024,SE,FT,216700,US,100,US,Machine Learning
2023,SE,FT,216600,CA,0,CA,Machine Learning
2023,SE,FT,216450,US,0,US,BI & Analytics
2022,SE,FT,216200,US,0,US,Data Analyst
2022,MI,FT,216200,US,0,US,Data Analyst
2023,SE,FT,216100,US,0,US,Data Scientist
2023,SE,FT,216027,US,100,US,Data Engineer
2024,SE,FT,216000,US,0,US,Machine Learning
2024,SE,FT,216000,US,0,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,0,US,Research & Science
2023,SE,FT,216000,US,100,US,Research & Science
2023,SE,FT,216000,US,0,US,Research & Science
2023,SE,FT,216000,US,100,US,Machine Learning
2023,SE,FT,216000,US,100,US,Machine Learning
2023,SE,FT,216000,US,100,US,Machine Learning
2022,SE,FT,216000,US,100,US,Data Engineer
2022,SE,FT,216000,US,100,US,Data Engineer
2022,SE,FT,216000,US,100,US,Data Engineer
2022,EX,FT,216000,US,100,US,Data Engineer
2023,SE,FT,215625,US,100,US,Data Scientist
2024,SE,FT,215500,US,100,US,Machine Learning
2024,MI,FT,215500,US,0,US,Data Engineer
2023,SE,FT,215500,US,100,US,BI & Analytics
2022,SE,FT,215300,US,100,US,Data Scientist
2022,SE,FT,215300,US,0,US,Data Scientist
2023,SE,FT,215050,US,0,US,BI & Analytics
2023,SE,FT,215050,US,100,US,Data Scientist
2024,SE,FT,215000,US,0,US,Data Scientist
2024,SE,FT,215000,US,0,US,Machine Learning
2024,SE,FT,215000,US,0,US,Data Engineer
2024,MI,FT,215000,US,0,US,Data Scientist
2024,MI,FT,215000,US,0,US,Data Scientist
2024,MI,FT,215000,AU,100,AU,Data Operations
2024,SE,FT,215000,CA,0,CA,Machine Learning
2024,EX,FT,215000,US,100,US,Leadership & Management
2024,SE,FT,215000,US,0,US,Machine Learning
2024,SE,FT,215000,US,0,US,Data Scientist
2024,SE,FT,215000,US,0,US,Leadership & Management
2024,SE,FT,215000,US,0,US,Machine Learning
2024,SE,FT,215000,US,0,US,Data Scientist
2024,SE,FT,165384,CA,0,CA,Machine Learning
2024,SE,FT,215000,US,0,US,Machine Learning
2024,SE,FT,215000,US,0,US,Machine Learning
2024,EX,FT,215000,US,0,US,Data Engineer
2023,SE,FT,215000,US,0,US,Machine Learning
2023,SE,FT,215000,US,0,US,Data Engineer
2023,SE,FT,215000,US,0,US,Data Scientist
2023,SE,FT,215000,US,0,US,Machine Learning
2023,SE,FT,215000,US,100,US,Machine Learning
2023,SE,FT,215000,US,0,US,Research & Science
2023,SE,FT,215000,US,0,US,Data Scientist
2023,SE,FT,215000,US,100,US,Software & Data Architecture
2023,SE,FT,215000,US,100,US,Data Engineer
2023,SE,FT,215000,US,0,US,Data Engineer
2023,SE,FT,215000,US,0,US,Data Engineer
2023,SE,FT,215000,US,0,US,Computer Vision & Deep Learning
2023,SE,FT,215000,US,0,US,Research & Science
2022,SE,FT,215000,US,100,US,Data Engineer
2022,SE,FT,215000,US,0,US,Data Scientist
2022,SE,FT,215000,US,0,US,Data Engineer
2023,SE,FT,214872,US,100,US,Data Scientist
2024,SE,FT,214500,US,0,US,Data Scientist
2023,SE,FT,214500,US,0,US,Machine Learning
2023,SE,FT,214500,US,0,US,Data Engineer
2023,SE,FT,214500,US,0,US,Machine Learning
2023,SE,FT,214500,US,0,US,Machine Learning
2023,SE,FT,214500,US,0,US,Machine Learning
2023,SE,FT,214500,US,0,US,Machine Learning
2023,SE,FT,214500,US,0,US,Data Scientist
2024,SE,FT,214300,US,0,US,Data Engineer
2024,MI,FT,214300,US,0,US,Data Engineer
2023,MI,FT,214300,US,0,US,Data Engineer
2023,SE,FT,214200,US,0,US,BI & Analytics
2023,SE,FT,214200,US,0,US,BI & Analytics
2024,SE,FT,214000,US,100,US,Research & Science
2023,SE,FT,214000,US,0,US,Research & Science
2023,SE,FT,214000,US,0,US,Data Scientist
2023,SE,FT,214000,GB,0,GB,BI & Analytics
2023,SE,FT,214000,US,0,US,BI & Analytics
2022,SE,FT,214000,US,100,US,Machine Learning
2023,MI,FT,213900,US,0,US,Machine Learning
2023,SE,FT,213800,US,0,US,Machine Learning
2023,EN,FT,213660,US,0,US,Research & Science
2023,EN,FT,213660,US,0,US,Research & Science
2023,SE,FT,213654,GB,0,GB,Data Scientist
2023,SE,FT,213600,US,0,US,Software & Data Architecture
2023,SE,FT,213600,US,0,US,Data Engineer
2023,SE,FT,213600,US,0,US,BI & Analytics
2023,SE,FT,213580,US,100,US,Data Engineer
2023,SE,FT,213300,GB,0,GB,Data Scientist
2023,SE,FT,213210,US,100,US,Data Analyst
2023,SE,FT,213120,US,100,US,Software & Data Architecture
2022,SE,FT,213120,US,100,US,Software & Data Architecture
2022,SE,FT,213000,US,0,US,Data Engineer
2024,MI,FT,212800,US,0,US,Research & Science
2024,MI,FT,212800,US,0,US,Data Scientist
2024,MI,FT,212800,US,0,US,Data Scientist
2024,MI,FT,212800,US,0,US,Research & Science
2024,MI,FT,212800,US,0,US,Data Scientist
2024,SE,FT,212800,US,100,US,Machine Learning
2024,MI,FT,212800,US,0,US,Data Scientist
2023,MI,FT,212800,US,0,US,Research & Science
2023,SE,FT,212800,US,0,US,Research & Science
2023,MI,FT,212800,US,0,US,Research & Science
2023,SE,FT,212800,US,0,US,Research & Science
2023,SE,FT,212800,US,0,US,Data Scientist
2023,SE,FT,212800,US,0,US,Research & Science
2023,SE,FT,212800,US,0,US,Machine Learning
2023,SE,FT,212800,US,0,US,Data Scientist
2023,SE,FT,212800,US,100,US,Data Scientist
2023,SE,FT,212800,US,0,US,Research & Science
2023,SE,FT,212800,US,100,US,Data Scientist
2023,SE,FT,212800,US,0,US,Machine Learning
2023,SE,FT,212800,US,0,US,Research & Science
2023,SE,FT,212800,US,0,US,Data Scientist
2023,SE,FT,212800,US,0,US,Machine Learning
2022,SE,FT,212800,US,100,US,Research & Science
2024,SE,FT,212780,US,0,US,Data Scientist
2023,SE,FT,212780,US,0,US,Data Scientist
2023,SE,FT,212750,US,100,US,Data Scientist
2024,SE,FT,212500,US,0,US,Machine Learning
2024,EX,FT,212500,US,0,US,Data Engineer
2023,SE,FT,212500,US,0,US,Machine Learning
2023,SE,FT,212200,US,100,US,Machine Learning
2023,SE,FT,212175,US,100,US,Data Engineer
2024,SE,PT,212000,US,0,US,Software & Data Architecture
2024,SE,FT,212000,US,0,US,Data Engineer
2024,SE,FT,212000,US,0,US,Machine Learning
2024,MI,FT,212000,US,0,US,Data Scientist
2024,SE,FT,212000,US,0,US,Machine Learning
2024,SE,FT,212000,US,0,US,Data Scientist
2024,SE,FT,212000,US,0,US,Data Scientist
2024,SE,FT,212000,US,0,US,Research & Science
2024,MI,FT,212000,US,0,US,Data Scientist
2024,SE,FT,212000,US,0,US,Machine Learning
2024,SE,FT,212000,AU,0,AU,Software & Data Architecture
2024,MI,FT,212000,US,0,US,Data Scientist
2024,SE,FT,212000,US,0,US,Machine Learning
2024,SE,FT,212000,US,0,US,Data Engineer
2024,SE,FT,212000,US,0,US,Data Scientist
2024,MI,FT,212000,EG,0,EG,Data Scientist
2024,MI,FT,212000,EG,0,EG,Data Scientist
2024,SE,FT,212000,EG,0,EG,Data Scientist
2024,SE,FT,212000,US,0,US,Machine Learning
2024,SE,FT,212000,US,0,US,Machine Learning
